tk_label_run1,tk_conf_run1,tk_evidence_run1,tk_rationale_run1,tk_label_run2,tk_conf_run2,tk_evidence_run2,tk_rationale_run2,tk_label_run3,tk_conf_run3,tk_evidence_run3,tk_rationale_run3,tk_label_run4,tk_conf_run4,tk_evidence_run4,tk_rationale_run4,job_id
2,87,Ability to navigate complexity and ambiguity,"The role requires navigating complexity and ambiguity, which involves significant cognitive tacit knowledge that cannot be fully documented. The need to influence senior stakeholders and develop intellectual property further indicates deep social and cognitive dimensions. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,88,Ability to navigate complexity and ambiguity,"The role requires navigating complexity and ambiguity, influencing senior stakeholders, and developing intellectual property, indicating significant cognitive and social tacit knowledge. While technical skills in data visualization are present, they are secondary to the cognitive and social demands of the role. Dominant: Cognitive (institutional strategy). Also present: Social (stakeholder influence), Technical (data visualization). Absent: none.",2,89,Ability to navigate complexity and ambiguity,"The role requires navigating complexity and ambiguity, which involves significant cognitive judgment that cannot be fully documented. The need to influence senior stakeholders and develop new intellectual property further indicates deep tacit knowledge. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,Solving client problems through formulating relevant research and/or analytical approaches,"The role requires navigating complexity and ambiguity, which demands accumulated wisdom and institutional judgment. The ability to influence senior stakeholders and develop intellectual property indicates a need for cognitive and social skills beyond procedural knowledge. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",371273238900000000009
1,82,support and strengthen the partnerships with these clients through custom analytics,"The role involves deriving insights and presenting them to stakeholders, which requires some level of institutional judgment and experience. However, the tasks are largely structured around data analysis and visualization, which can be learned and improved upon with experience. The role does not require navigating high-level strategic ambiguity or influencing senior stakeholders at an enterprise level. Dominant: Technical. Also present: Social. Absent: Cognitive.",1,82,support and strengthen the partnerships with these clients through custom analytics,"The role involves using analytical skills and business sense to derive insights and optimize client performance, which requires some institutional judgment. However, the focus on utilizing big data and delivering presentations suggests a structured framework where a strong junior could develop expertise with guidance. Dominant: Technical (local tools). Also present: Social (client interaction). Absent: Cognitive (institutional strategy).",1,75,support and strengthen the partnerships with these clients through custom analytics,"The role involves delivering analytic insights and creating presentations, which require some institutional judgment and experience. However, the tasks are bounded by structured methodologies and tools, allowing a strong junior to grow into the role with guidance. Dominant: Technical. Also present: Social, Cognitive. Absent: none.",2,87,Innovation and a willingness to challenge traditional paradigms are paramount,"The role requires deriving insights from complex data and presenting them to diverse stakeholders, which involves significant cognitive judgment and creativity beyond procedural tasks. The need to innovate and challenge paradigms indicates a reliance on accumulated wisdom. Dominant: Cognitive. Also present: Technical (data analysis), Social (stakeholder presentations). Absent: none.",3896038309
1,75,Demonstrate critical thinking and the ability to bring order to unstructured problems.,"The role involves critical thinking and problem-solving within a structured framework, suggesting some institutional judgment but bounded by methodologies and tools. The use of cloud platforms and data tools indicates technical expertise, but these are codifiable. Social interactions are present in team leadership and client engagement. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",1,75,Demonstrate critical thinking and the ability to bring order to unstructured problems,"The role involves critical thinking and problem-solving within a structured team environment, which indicates some level of institutional judgment. However, it is bounded by the use of specific technical tools and platforms, suggesting a TK-1 rather than TK-2. Dominant: Technical (local tools). Also present: Cognitive (problem-solving). Absent: Social (enterprise-level strategy).",1,75,Demonstrate critical thinking and the ability to bring order to unstructured problems.,"The role involves aligning data strategies with business strategies and requires critical thinking to address unstructured problems, which suggests some level of institutional judgment. However, the use of established cloud platforms and tools indicates a structured workflow that a strong junior could learn with guidance. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,87,Demonstrate critical thinking and the ability to bring order to unstructured problems.,"The role requires solving complex business issues from strategy to execution, which involves significant cognitive judgment beyond procedural knowledge. The need to align client data strategies with business strategies and navigate unstructured problems indicates a reliance on accumulated wisdom. Social skills are crucial for influencing and connecting with others, while technical skills are needed for platform selection and data migration. Dominant: Cognitive. Also present: Social, Technical. A",4029615952
1,82,Structure and solve business problems by collaborating with a range of internal stakeholders.,"The role involves structured problem-solving and collaboration within defined frameworks, suggesting a mix of procedural and judgment-based tasks. While it requires some institutional judgment, the presence of structured processes and collaboration indicates that a strong junior could grow into the role with guidance. Dominant: Technical (data analysis systems). Also present: Social (stakeholder collaboration), Cognitive (problem-solving). Absent: none.",2,89,Serve as a thought partner to the VP of Pricing and Deals,"The role involves high-level strategy development and institutional judgment that cannot be fully described in a manual, such as serving as a thought partner to senior leadership. The responsibility to develop unique and impactful recommendations indicates deep tacit knowledge. Dominant: Cognitive. Also present: Technical (data systems), Social (stakeholder collaboration). Absent: none.",2,87,Serve as a thought partner to the VP of Pricing and Deals,"The role requires significant cognitive and social tacit knowledge, such as serving as a thought partner to senior leadership and structuring and solving complex business problems. These tasks demand seasoned judgment and experience that cannot be fully captured in a manual. While technical skills are involved, the cognitive and social dimensions dominate. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,Serve as a thought partner to the VP of Pricing and Deals,"The role requires structuring and solving complex business problems, which involves significant cognitive judgment and strategic thinking beyond procedural tasks. The need to collaborate with various stakeholders and serve as a thought partner indicates a high level of social skill. Technical skills are also necessary for data analysis and dashboard creation. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",3868284623
1,82,"facilitate and perform fit gap analysis, determine solution/approach","The role involves some institutional judgment in performing fit gap analysis and determining solutions, which requires experience beyond a manual. However, the structured Agile framework bounds the role, allowing a strong junior to grow into it with guidance. Dominant: Technical (local tools). Also present: Social (cross-functional coordination). Absent: Cognitive.",1,80,"facilitate and perform fit gap analysis, determine solution/approach","The role requires a combination of structured technical tasks and some institutional judgment, especially in fit gap analysis and developing solutions. However, it remains within an established agile framework, suggesting an experienced junior could grow into the role. Dominant: Technical. Also present: Social (cross-functional teams), Cognitive (risk identification). Absent: none.",1,75,troubleshooting application and database production issues,"The role involves structured tasks like requirements gathering and troubleshooting, which can be learned with guidance. However, it also requires some institutional judgment and experience in agile environments, which a strong junior could develop over time. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",1,82,troubleshooting application and database production issues,"The role involves troubleshooting and managing production support, which requires some experience-based judgment beyond procedural tasks. However, the structured environment of Scaled Agile and the focus on systems administration suggest that a strong junior could grow into the role with mentoring. Dominant: Technical (systems administration). Also present: Social (cross-functional coordination), Cognitive (fit gap analysis). Absent: none.",3930501985
1,82,develops data visualizations and dashboards using analytics tools,"The role involves developing scalable analytics and ensuring data integrity, which requires some institutional judgment but is largely bounded by established tools and methodologies. The need for advanced problem-solving and communication skills suggests a mix of technical and social tacit knowledge, but the role does not demand the deep institutional judgment characteristic of TK-2. Dominant: Technical. Also present: Social. Absent: Cognitive.",1,84,develops data visualizations and dashboards using analytics tools,"The role involves developing scalable analytics and ensuring data integrity, which requires technical expertise and some institutional judgment. However, the tasks are bounded by existing BI tools and methodologies. A strong junior with experience could eventually manage this role. Dominant: Technical (local tools). Also present: Social (team guidance). Absent: Cognitive.",2,89,broad and deep perspective on data needs for each unique group of end users,"The role requires a deep understanding of diverse data needs and the ability to develop scalable analytics solutions, which involves significant cognitive and technical expertise that cannot be fully captured in a manual. The need to consult with data stewards and resolve complex data integrity issues also indicates a high level of social interaction and domain-specific judgment. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",2,87,broad and deep perspective on data needs for each unique group of end users,"The role requires a deep understanding of diverse data needs and the ability to present data effectively for decision-making, which goes beyond procedural knowledge. The need to resolve data integrity issues and provide proactive monitoring indicates a reliance on accumulated wisdom. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",4176253300
2,87,Lead development of market research strategies for Technology / Generative AI,"The role requires developing market research strategies and delivering insights through complex analysis, which involves significant cognitive judgment and cannot be fully captured in a manual. The need to cultivate relationships with key stakeholders and mentor a research team indicates a strong social dimension. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,82,Lead development of market research strategies for Technology / Generative AI,"The role requires leading market research strategies, which involves some institutional judgment, but it is bounded by structured methodologies in market research. The ability to synthesize complex information and present findings suggests a need for developed skills but not deep tacit knowledge. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,89,Lead development of market research strategies for Technology / Generative AI / Data,"The role requires developing market research strategies and delivering insights through complex analysis, which involves significant cognitive judgment and experience. Cultivating relationships with key stakeholders and mentoring a research team indicates a high level of social interaction and influence. The technical aspect is present but secondary to the cognitive and social demands. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,Lead development of market research strategies for Technology / Generative AI,"The role requires developing market research strategies and delivering insights, which involves significant judgment and experience beyond procedural knowledge. The need to cultivate relationships and mentor a team indicates a strong social component. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",4141130441
2,87,Exercises independent judgment and decision making on complex issues,"The role requires navigating complex problems and developing strategies without a complete manual, indicating deep cognitive tacit knowledge. The need for cross-functional collaboration and negotiation suggests significant social tacit knowledge. Technical expertise is also crucial, but the role's complexity and strategic alignment elevate it beyond procedural tasks. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,87,Exercises independent judgment and decision making on complex issues,"The role involves substantial independent judgment on complex issues, which cannot be fully captured by manuals. The role requires strategic thinking and aligning BI initiatives with organizational goals, indicating deep cognitive and institutional judgment. Dominant: Cognitive (institutional strategy). Also present: Technical (data analytics and tools), Social (cross-functional collaboration). Absent: none.",2,89,Exercises independent judgment and decision making on complex issues,"The role requires navigating complex problems and making independent decisions, which cannot be fully captured in a manual. The need for strategic alignment and innovation in BI practices indicates a high level of cognitive and social tacit knowledge. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",2,89,solves complex business problems and issues using data from internal and external sources,"The role requires solving complex problems of diverse scope and complexity, which necessitates accumulated wisdom and strategic thinking beyond procedural knowledge. The need for cross-functional collaboration and negotiation indicates significant social skills, while technical expertise in BI tools and data analytics is essential. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",4194399418
1,75,"Assist in the process of documenting, analyzing, tracing, prioritizing, and agreeing on requirements","The role involves some institutional judgment in managing requirements and stakeholder communication, but it is bounded by structured methodologies like Agile and SAFe. A strong junior could grow into this role with guidance. Dominant: Technical (local tools). Also present: Social (stakeholder communication). Absent: Cognitive.",1,76,"documenting, analyzing, tracing, prioritizing, and agreeing on requirements","The role involves some institutional judgment in managing and prioritizing requirements, but operates within established methodologies such as Agile or SAFe. It requires experience but not to the extent that a novice couldn't learn over time with guidance. Dominant: Technical (local tasks). Also present: Social (stakeholder communication). Absent: Cognitive.",1,75,"Assist in the process of documenting, analyzing, tracing, prioritizing, and agreeing on requirements","The role involves structured tasks like documenting and analyzing requirements, which can be learned with guidance. However, it also requires some judgment in prioritizing and agreeing on requirements with stakeholders, which a strong junior could develop over time. Dominant: Technical. Also present: Social. Absent: Cognitive.",1,75,"Assist in the process of documenting, analyzing, tracing, prioritizing, and agreeing on requirements","The role involves managing requirements and stakeholder communication, which requires some experience-based judgment but is largely procedural. A junior person could manage with mentoring, as the tasks are bounded by established frameworks like Agile. Dominant: Technical (local tools). Also present: Social (stakeholder communication). Absent: Cognitive.",4201040589
1,82,Independently drive revisions with a focus on quality and customer centricity,"The role involves independent judgment in managing product forms and contract initiatives, which requires some institutional judgment beyond a manual. However, the tasks are structured around defined processes like form development and regulatory compliance, suggesting a strong junior could grow into it. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",1,80,Independently drive revisions with a focus on quality and customer centricity,"The role requires independent work and some judgment in driving revisions and leading process improvements, which indicates a mix of structured workflow and some institutional judgment. However, the role largely involves codifiable tasks such as managing product forms and contract initiatives. Dominant: Technical (local tasks). Also present: Cognitive (some judgment), Social (collaboration). Absent: Cognitive (institutional strategy).",1,75,Independently drive revisions with a focus on quality and customer centricity,"The role involves managing product forms and contract initiatives, which requires some institutional judgment and experience, but the tasks are structured and can be learned over time. A strong junior with guidance could eventually manage these responsibilities. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,87,Independently drive revisions with a focus on quality and customer centricity,"The role requires significant experience-based judgment to manage product forms and contract initiatives, which cannot be fully captured by documentation. The need to independently drive revisions and lead process improvements indicates a reliance on accumulated wisdom. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",3994002194
