job_title,schaal_title,seniority,tk_label_run1,dim_dominant_r1,tk_rationale_run1,tk_label_run2,dim_dominant_r2,tk_rationale_run2,verifier_score
Pricing & Deal Performance Lead,Business Intelligence Analysts,senior,1,Technical,"The role involves structured problem-solving and collaboration within defined frameworks, suggesting a mix of procedural and judgment-based tasks. While it requires some institutional judgment, the presence of structured processes and collaboration indicates that a strong junior could grow into the role with guidance. Dominant: Technical (data analysis systems). Also present: Social (stakeholder collaboration), Cognitive (problem-solving). Absent: none.",2,Cognitive,"The role involves high-level strategy development and institutional judgment that cannot be fully described in a manual, such as serving as a thought partner to senior leadership. The responsibility to develop unique and impactful recommendations indicates deep tacit knowledge. Dominant: Cognitive. Also present: Technical (data systems), Social (stakeholder collaboration). Absent: none.",0.35150000000000003
"Manager, Advisory Insights Research",Business Intelligence Analysts,senior,2,Cognitive,"The role requires developing market research strategies and delivering insights through complex analysis, which involves significant cognitive judgment and cannot be fully captured in a manual. The need to cultivate relationships with key stakeholders and mentor a research team indicates a strong social dimension. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Technical,"The role requires leading market research strategies, which involves some institutional judgment, but it is bounded by structured methodologies in market research. The ability to synthesize complex information and present findings suggests a need for developed skills but not deep tacit knowledge. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",0.2265
Business Analyst,Business Intelligence Analysts,mid,1,Technical,"The role involves analyzing data to identify fraud trends and supporting fraud prevention strategies, which requires some institutional judgment but is largely bounded by established methodologies. The need for technical skills and quantitative analysis suggests a strong technical component, while relationship management and stakeholder influence indicate a social dimension. Dominant: Technical. Also present: Social, Cognitive. Absent: none.",2,Cognitive,"The role requires developing strategic direction for risk and involves significant institutional judgment in fraud strategy, which cannot be fully captured in a manual. It also involves analyzing complex data trends and influencing decision-making, which suggests deep domain expertise. Dominant: Cognitive (institutional strategy). Also present: Technical (quantitative analysis), Social (stakeholder relationship management). Absent: none.",0.35200000000000004
Sr. Analyst GTM Strategy & Operations,Business Intelligence Analysts,senior,2,Cognitive,"The role requires strategic thinking and influencing company direction, which involves significant cognitive tacit knowledge. The need to lead cross-functional teams and partner with diverse operations indicates social tacit knowledge. Technical skills are present but not dominant. Dominant: Cognitive. Also present: Social, Technical. Absent: none.",1,Cognitive,"The role involves strategic thinking and operational initiatives, requiring some institutional judgment, but it is bounded by collaboration with cross-functional teams and defined projects, implying that a strong junior could eventually manage with guidance. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",0.2275
"Associate, Tech, Data, Analytics, Cyber, and Operations Leadership Development Program",Business Intelligence Analysts,junior,1,Technical,"The role involves structured learning and rotation assignments, indicating a mix of procedural and experiential learning. While there is exposure to leaders and a focus on leadership development, the structured nature of the program suggests that a strong junior could grow into the role with guidance. Dominant: Technical. Also present: Social (mentorship, exposure to leaders). Absent: Cognitive.",0,Technical,"The emphasis is on structured learning and skill-building within a defined framework, suitable for high-performing graduates. Tasks are oriented around learning and procedural execution under guidance, not independent judgment. Dominant: Technical (individual/local). Also present: Social (mentorship and teamwork). Absent: Cognitive.",0.24500000000000002
Senior Systems Engineer,Computer Systems Engineers/Architects,senior,2,Cognitive,"The role involves leading complex engineering programs and developing advanced solutions, which require deep institutional judgment and cannot be fully captured in a manual. The need to guide major programs and develop solutions to complex problems indicates a high level of Cognitive TK. Dominant: Cognitive. Also present: Technical (systems design and integration), Social (project leadership). Absent: none.",1,Technical,"The role involves leading major engineering programs and developing advanced solutions, indicating a need for experience and judgment not fully captured by manuals, but it operates within structured engineering and technical frameworks. Dominant: Technical (institutional). Also present: Cognitive (problem-solving). Absent: Social.",0.2265
GenAI Python Systems Engineer –Senior Manager,Computer Systems Engineers/Architects,senior,1,Technical,"The role involves navigating complexity and ambiguity, which requires some level of institutional judgment beyond procedural tasks. However, the technical skills listed, such as proficiency in Python and SQL, are codifiable and align with structured workflows. The role also involves social interactions, such as coaching and client validation, but these are within a defined framework. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,Cognitive,"The role requires navigating complexity and ambiguity, which involves cognitive and institutional judgment beyond codifiable procedures. The need to influence and coach others, as well as solve complex problems, indicates deep tacit knowledge. Dominant: Cognitive (institutional strategy). Also present: Social (team leadership), Technical (data systems and AI techniques). Absent: none.",0.35350000000000004
Senior System Engineer,Computer Systems Engineers/Architects,senior,1,Technical,"The role involves system-level design and requires understanding interactions between subsystems, which suggests some institutional judgment. However, the tasks are bounded by systems engineering principles and tools, indicating a structured workflow. A strong junior with guidance could eventually manage this role. Dominant: Technical. Also present: Cognitive, Social. Absent: none.",2,Cognitive,"The role requires developing mission architectures and resolving complex engineering problems, which cannot be fully captured by manuals. Familiarity with subsystem interactions and architectural trades involves significant cognitive and technical judgment. Interaction with customers and suppliers indicates a social dimension. Dominant: Cognitive. Also present: Technical, Social. Absent: none.",0.35000000000000003
Remote Associate Technical Support Analyst,Computer User Support Specialists,junior,0,Technical,"The role primarily involves following established procedures to diagnose and resolve technical issues, which can be learned from manuals and training. The focus is on technical support and customer service, which are procedural and do not require deep institutional judgment. Dominant: Technical (individual/local). Also present: Social (customer interaction). Absent: Cognitive.",1,Technical,"The role requires technical troubleshooting skills across various devices, which suggests a need for some level of expertise and judgment beyond procedural manuals. While the role involves complex issue resolution, it is still bounded by specific technical domains and does not indicate the level of institutional or strategic judgment required for TK-2. Dominant: Technical. Also present: Social. Absent: Cognitive.",0.231
Desktop Support Technician,Computer User Support Specialists,mid,0,Technical,"The role primarily involves responding to technical assistance requests and maintaining systems, which are procedural tasks. While there is some involvement in designing standards and implementing solutions, these tasks are still within a structured framework and do not require deep institutional judgment. Dominant: Technical (individual/local). Also present: Social (customer interaction). Absent: Cognitive.",1,Technical,"The role involves both individual technical tasks like troubleshooting and implementing MDM solutions, and also some judgment in designing standards. However, the work is bounded by established procedures and tools, making it accessible to a strong junior with guidance. Dominant: Technical. Also present: Social (team collaboration). Absent: Cognitive.",0.365
